"Date","Time","Open","hPrice","lPrice","cPrice","Up","Down"
12/26/2012,06:31,27.04,27.06,26.93,26.97,312554,847223
12/26/2012,06:32,26.97,27.03,26.95,27.00,161618,82999
12/26/2012,06:33,27.00,27.03,26.98,27.02,185290,131623
12/26/2012,06:34,27.02,27.11,27.00,27.08,143560,110944
12/26/2012,06:35,27.08,27.10,27.02,27.02,101364,119968
12/26/2012,06:36,27.03,27.14,27.02,27.12,181178,100822
12/26/2012,06:37,27.14,27.15,27.10,27.13,96467,81396
12/26/2012,06:38,27.13,27.14,27.05,27.07,88007,121805
12/26/2012,06:39,27.08,27.09,27.03,27.05,84650,108938
12/26/2012,06:40,27.06,27.09,27.05,27.06,59532,59916
12/26/2012,06:41,27.07,27.09,27.01,27.09,172385,164236
12/26/2012,06:42,27.09,27.09,27.01,27.01,17835,71335
12/26/2012,06:43,27.01,27.09,27.00,27.09,151240,127395
12/26/2012,06:44,27.08,27.09,27.04,27.04,48470,55332
12/26/2012,06:45,27.04,27.05,27.01,27.01,39592,79778
12/26/2012,06:46,27.01,27.07,27.01,27.04,83099,47258
12/26/2012,06:47,27.05,27.05,27.00,27.00,53211,139340
12/26/2012,06:48,27.00,27.03,27.00,27.00,83176,61210
12/26/2012,06:49,27.00,27.01,27.00,27.00,45821,69036
12/26/2012,06:50,27.01,27.08,27.00,27.08,118441,32387
12/26/2012,06:51,27.09,27.09,27.02,27.02,32334,64681
12/26/2012,06:52,27.02,27.08,27.01,27.07,79180,41870
12/26/2012,06:53,27.07,27.08,27.02,27.05,20603,57756
12/26/2012,06:54,27.05,27.05,27.00,27.01,20781,62556
12/26/2012,06:55,27.01,27.01,27.00,27.00,36447,38336
12/26/2012,06:56,27.00,27.06,27.00,27.05,76270,38395
12/26/2012,06:57,27.05,27.05,27.01,27.03,24162,30992
12/26/2012,06:58,27.03,27.04,27.00,27.01,16019,37704
12/26/2012,06:59,27.00,27.02,27.00,27.02,52728,38234
12/26/2012,07:00,27.02,27.07,27.02,27.03,16896,25227
12/26/2012,07:01,27.03,27.07,27.02,27.07,140548,36395
12/26/2012,07:02,27.07,27.16,27.05,27.15,196762,113084
12/26/2012,07:03,27.15,27.17,27.11,27.14,91976,65654
12/26/2012,07:04,27.15,27.19,27.14,27.19,103528,45482
12/26/2012,07:05,27.18,27.18,27.13,27.14,45547,70695
12/26/2012,07:06,27.14,27.15,27.10,27.11,19044,61890
12/26/2012,07:07,27.11,27.11,27.07,27.07,53247,61369
12/26/2012,07:08,27.07,27.09,27.06,27.07,52050,86013
12/26/2012,07:09,27.06,27.07,27.01,27.03,64995,129468
12/26/2012,07:10,27.03,27.07,27.02,27.07,79540,21630
12/26/2012,07:11,27.07,27.10,27.04,27.05,15088,56817
12/26/2012,07:12,27.04,27.06,27.04,27.05,19176,13180
12/26/2012,07:13,27.05,27.06,27.03,27.03,24044,58983
12/26/2012,07:14,27.04,27.04,27.02,27.04,31781,88715
12/26/2012,07:15,27.03,27.04,27.00,27.00,40803,53002
12/26/2012,07:16,27.01,27.02,26.92,26.93,176508,278133
12/26/2012,07:17,26.93,26.94,26.85,26.93,226224,172495
12/26/2012,07:18,26.92,26.95,26.86,26.89,106903,137436
12/26/2012,07:19,26.90,26.90,26.88,26.89,139457,116510
12/26/2012,07:20,26.89,26.91,26.88,26.90,151346,108708
12/26/2012,07:21,26.90,26.94,26.89,26.92,80826,36332
12/26/2012,07:22,26.91,26.92,26.85,26.86,36931,105053
12/26/2012,07:23,26.86,26.89,26.85,26.89,62898,35912
12/26/2012,07:24,26.89,26.92,26.87,26.89,68361,46685
12/26/2012,07:25,26.88,26.89,26.80,26.85,67006,84301
12/26/2012,07:26,26.84,26.88,26.84,26.88,41809,25681
12/26/2012,07:27,26.88,26.88,26.85,26.85,7181,23711
12/26/2012,07:28,26.85,26.88,26.85,26.87,26481,19988
12/26/2012,07:29,26.88,26.88,26.85,26.87,14725,36039
12/26/2012,07:30,26.86,26.94,26.86,26.91,130098,55787
12/26/2012,07:31,26.90,26.91,26.85,26.86,6805,47046
